Year,,SeaLevel
1954,9583,30.35
1955,417,31.15
1955,125,31.32
1955,2083,29.75
1955,2917,27.07
1955,375,24.59
1955,4583,22.12
1955,5417,19.35
1955,625,20.96
1955,7083,21.54
1955,7917,26.93
1955,875,29.48
1955,9583,29.34
1956,417,27.52
1956,125,22.16
1956,2083,21.51
1956,2917,24.64
1956,375,25.42
1956,4583,23.91
1956,5417,18.24
1956,625,16.13
1956,7083,16.07
1956,7917,17.26
1956,875,18.58
1956,9583,19.9
1957,417,24.91
1957,125,32.23
1957,2083,36.35
1957,2917,36.69
1957,375,38.5
1957,4583,39.52
1957,5417,39.86
1957,625,37.5
1957,7083,36.28
1957,7917,34.04
1957,875,34.59
1957,9583,35.28
1958,417,38.45
1958,125,38.76
1958,2083,39.83
1958,2917,36.75
1958,375,38.11
1958,4583,36.83
1958,5417,36.89
1958,625,36.86
1958,7083,38.24
1958,7917,40.9
1958,875,41.33
1958,9583,40.79
1959,417,38.36
1959,125,35.28
1959,2083,33.7
1959,2917,36.23
1959,375,36.49
1959,4583,38.68
1959,5417,37.72
1959,625,39.45
1959,7083,38.28
1959,7917,40.6
1959,875,36.36
1959,9583,36.68
1960,417,36.19
1960,125,39.55
1960,2083,39.55
1960,2917,41.22
1960,375,42.34
1960,4583,41.86
1960,5417,40.12
1960,625,38.28
1960,7083,36.68
1960,7917,35.45
1960,875,35.29
1960,9583,38.33
1961,417,42.79
1961,125,48.75
1961,2083,50.14
1961,2917,48.76
1961,375,45.84
1961,4583,44.3
1961,5417,43.59
1961,625,42.61
1961,7083,40.15
1961,7917,37.46
1961,875,34.93
1961,9583,36.68
1962,417,37.62
1962,125,39.44
1962,2083,37.8
1962,2917,37.56
1962,375,37.7
1962,4583,38.34
1962,5417,36.45
1962,625,37.46
1962,7083,38.88
1962,7917,43.04
1962,875,43.79
1962,9583,43.67
1963,417,44.47
1963,125,43.61
1963,2083,42.62
1963,2917,40.97
1963,375,40.08
1963,4583,39.43
1963,5417,37.73
1963,625,36.55
1963,7083,38.1
1963,7917,38.12
1963,875,39.53
1963,9583,33.99
1964,417,28.3
1964,125,23.92
1964,2083,23.25
1964,2917,24.85
1964,375,31.42
1964,4583,37.21
1964,5417,40.71
1964,625,40.91
1964,7083,39.37
1964,7917,37.37
1964,875,38.85
1964,9583,41.14
1965,417,44.56
1965,125,47.4
1965,2083,45.3
1965,2917,42.27
1965,375,39.65
1965,4583,41.08
1965,5417,43.43
1965,625,45.53
1965,7083,48.75
1965,7917,48.12
1965,875,48.8
1965,9583,47.05
1966,417,45.99
1966,125,43.14
1966,2083,41.74
1966,2917,39.39
1966,375,39
1966,4583,37.25
1966,5417,38.51
1966,625,37.26
1966,7083,37.31
1966,7917,35.54
1966,875,33.5
1966,9583,35.4
1967,417,34.37
1967,125,34.18
1967,2083,32.09
1967,2917,34.09
1967,375,35.44
1967,4583,39.36
1967,5417,38.78
1967,625,39.81
1967,7083,40
1967,7917,41.34
1967,875,42.89
1967,9583,44.6
1968,417,45.51
1968,125,42.25
1968,2083,35.1
1968,2917,29.86
1968,375,27.85
1968,4583,30
1968,5417,34.11
1968,625,40.79
1968,7083,43.88
1968,7917,47.09
1968,875,47.51
1968,9583,47.13
1969,417,49.53
1969,125,48.99
1969,2083,50.49
1969,2917,49.46
1969,375,47.91
1969,4583,46.89
1969,5417,44.38
1969,625,46.57
1969,7083,48.23
1969,7917,50.35
1969,875,50.64
1969,9583,49.59
1970,417,50.78
1970,125,50.39
1970,2083,48
1970,2917,43.24
1970,375,42.26
1970,4583,42.01
1970,5417,41.14
1970,625,42.67
1970,7083,44.23
1970,7917,49.28
1970,875,51.06
1970,9583,52.26
1971,417,53.4
1971,125,55.3
1971,2083,55.81
1971,2917,56.14
1971,375,54.12
1971,4583,53.31
1971,5417,52.25
1971,625,53.72
1971,7083,56.09
1971,7917,56.81
1971,875,54.34
1971,9583,51.46
1972,417,52.33
1972,125,55.57
1972,2083,58.38
1972,2917,58.35
1972,375,60
1972,4583,62.91
1972,5417,64.87
1972,625,61.61
1972,7083,59.59
1972,7917,56.92
1972,875,58.46
1972,9583,57.77
1973,417,54.47
1973,125,54.22
1973,2083,53.68
1973,2917,57.11
1973,375,56.45
1973,4583,58.56
1973,5417,56.95
1973,625,57.71
1973,7083,57.68
1973,7917,60.18
1973,875,65.91
1973,9583,69.18
1974,417,72.19
1974,125,70.92
1974,2083,69.21
1974,2917,69.77
1974,375,70.14
1974,4583,69.83
1974,5417,67.08
1974,625,64.1
1974,7083,62.68
1974,7917,60.81
1974,875,61.67
1974,9583,61.57
1975,417,63.83
1975,125,66.04
1975,2083,68.15
1975,2917,67.34
1975,375,65.8
1975,4583,64.31
1975,5417,63.04
1975,625,63.96
1975,7083,65.29
1975,7917,66.67
1975,875,67.06
1975,9583,65
1976,417,63.85
1976,125,62.16
1976,2083,62.06
1976,2917,62.9
1976,375,61.37
1976,4583,63.28
1976,5417,61.42
1976,625,60.86
1976,7083,62.1
1976,7917,63.45
1976,875,65.87
1976,9583,65.61
1977,417,62.44
1977,125,59.13
1977,2083,56.91
1977,2917,55.47
1977,375,55.68
1977,4583,55.23
1977,5417,55.18
1977,625,56.11
1977,7083,58.26
1977,7917,60.12
1977,875,62.39
1977,9583,66.32
1978,417,68.75
1978,125,71.69
1978,2083,68.96
1978,2917,67.59
1978,375,64.34
1978,4583,62.74
1978,5417,61.26
1978,625,62.03
1978,7083,61.34
1978,7917,62.11
1978,875,58.22
1978,9583,58.37
1979,417,57.28
1979,125,59.34
1979,2083,59.72
1979,2917,58.7
1979,375,58.53
1979,4583,59.09
1979,5417,61.41
1979,625,65.85
1979,7083,68.05
1979,7917,70.21
1979,875,69.16
1979,9583,71.81
1980,417,71.7
1980,125,71.8
1980,2083,68.4
1980,2917,68.52
1980,375,68.05
1980,4583,68.25
1980,5417,66.58
1980,625,64.31
1980,7083,65.12
1980,7917,65.24
1980,875,69.93
1980,9583,73.87
1981,417,75.82
1981,125,75.94
1981,2083,76.42
1981,2917,77.36
1981,375,78.21
1981,4583,80.21
1981,5417,79.02
1981,625,81.74
1981,7083,80.82
1981,7917,83.27
1981,875,81.83
1981,9583,79.4
1982,417,74.51
1982,125,73.46
1982,2083,73.34
1982,2917,72.75
1982,375,73.03
1982,4583,70.18
1982,5417,68.38
1982,625,68.27
1982,7083,72.06
1982,7917,75.79
1982,875,76.19
1982,9583,75.46
1983,417,76.08
1983,125,75.68
1983,2083,77.97
1983,2917,81.68
1983,375,84.62
1983,4583,84.14
1983,5417,82
1983,625,76.47
1983,7083,76.48
1983,7917,74.16
1983,875,76.31
1983,9583,74.19
1984,417,73.57
1984,125,74.11
1984,2083,76.58
1984,2917,77.95
1984,375,79.51
1984,4583,81.74
1984,5417,81.3
1984,625,83.28
1984,7083,80.12
1984,7917,78.27
1984,875,73.28
1984,9583,72.05
1985,417,67.08
1985,125,68.88
1985,2083,65.95
1985,2917,67.72
1985,375,67.91
1985,4583,70
1985,5417,69.44
1985,625,67.84
1985,7083,67.05
1985,7917,67.52
1985,875,67.9
1985,9583,68.65
1986,417,69.7
1986,125,70.8
1986,2083,68.39
1986,2917,66.35
1986,375,64.39
1986,4583,65.2
1986,5417,66.49
1986,625,68.42
1986,7083,67.64
1986,7917,66.25
1986,875,65.41
1986,9583,66.57
1987,417,69.95
1987,125,74.55
1987,2083,74.46
1987,2917,72.47
1987,375,74.25
1987,4583,75.99
1987,5417,77.73
1987,625,72.4
1987,7083,69.85
1987,7917,67.31
1987,875,70.5
1987,9583,73.04
1988,417,71.53
1988,125,73.36
1988,2083,71.43
1988,2917,75.09
1988,375,75.25
1988,4583,76.49
1988,5417,74.37
1988,625,74.54
1988,7083,75.26
1988,7917,76.14
1988,875,74.51
1988,9583,69.58
1989,417,68.58
1989,125,69.56
1989,2083,74.01
1989,2917,75.42
1989,375,76.12
1989,4583,75.35
1989,5417,76.07
1989,625,76.68
1989,7083,77.63
1989,7917,76.15
1989,875,77.4
1989,9583,75.72
1990,417,76.6
1990,125,75.38
1990,2083,76.21
1990,2917,78.1
1990,375,78.44
1990,4583,81.99
1990,5417,81.55
1990,625,84.61
1990,7083,84.61
1990,7917,85.2
1990,875,86.75
1990,9583,85.48
1991,417,88.88
1991,125,90.28
1991,2083,91.39
1991,2917,88.9
1991,375,89
1991,4583,90.19
1991,5417,92.41
1991,625,93.95
1991,7083,93.69
1991,7917,93.2
1991,875,91.61
1991,9583,90.52
1992,417,93.77
1992,125,96.66
1992,2083,96.97
1992,2917,95.84
1992,375,93.06
1992,4583,93.1
1992,5417,91.07
1992,625,91.09
1992,7083,92.19
1992,7917,95.45
1992,875,93.98
1992,9583,91.82
1993,417,89.6
1993,125,90.81
1993,2083,92.32
1993,2917,94.6
1993,375,94.65
1993,4583,91.7
1993,5417,88.21
1993,625,85.03
1993,7083,81.27
1993,7917,83.05
1993,875,82.28
1993,9583,87.56
1994,417,91.19
1994,125,91.25
1994,2083,91.4
1994,2917,88.97
1994,375,90.72
1994,4583,89.62
1994,5417,92.63
1994,625,92.2
1994,7083,93.35
1994,7917,93.62
1994,875,91.57
1994,9583,92.89
1995,417,93.84
1995,125,95.5
1995,2083,97.1
1995,2917,96.4
1995,375,96.43
1995,4583,97.04
1995,5417,100.1
1995,625,99.69
1995,7083,99.92
1995,7917,99.41
1995,875,100.26
1995,9583,103.49
1996,417,102.82
1996,125,103.79
1996,2083,98.35
1996,2917,97.02
1996,375,97.34
1996,4583,97.71
1996,5417,103.52
1996,625,104.29
1996,7083,108.98
1996,7917,106.51
1996,875,105.34
1996,9583,103.15
1997,417,104.67
1997,125,105.58
1997,2083,108.94
1997,2917,109.79
1997,375,113.51
1997,4583,114.38
1997,5417,112.63
1997,625,112.83
1997,7083,111.95
1997,7917,115.83
1997,875,115.06
1997,9583,116.92
1998,417,115.18
1998,125,113.01
1998,2083,109.25
1998,2917,106.01
1998,375,105.19
1998,4583,104.33
1998,5417,103.88
1998,625,102.73
1998,7083,103.5
1998,7917,101.28
1998,875,100.35
1998,9583,99.53
1999,417,104.54
1999,125,108.06
1999,2083,113.48
1999,2917,113.04
1999,375,114.36
1999,4583,112.3
1999,5417,112.86
1999,625,111.25
1999,7083,110.81
1999,7917,109.55
1999,875,106
1999,9583,105.34
2000,417,105.19
2000,125,111.6
2000,2083,115.71
2000,2917,118.62
2000,375,120.67
2000,4583,118.33
2000,5417,118.13
2000,625,113.09
2000,7083,112.84
2000,7917,110.33
2000,875,110.17
2000,9583,109.75
2001,417,111.88
2001,125,112.59
2001,2083,116.62
2001,2917,113.81
2001,375,116.68
2001,4583,115.5
2001,5417,118.94
2001,625,121.59
2001,7083,121.12
2001,7917,118.71
2001,875,114.17
2001,9583,110.85
